code,name,industry,bucket,buckets,cadence,holding_period,first_seen,last_seen,hit_count,latest_score,best_score,risk_level,strategies,pinned
600015,华夏银行,银行,defensive,defensive,weekly,watchlist,2026-08-30,2026-08-31,2,84.01,84.08,low,dual_low,0
601601,中国太保,非银行金融,defensive,defensive,weekly,watchlist,2026-08-30,2026-08-31,2,80.79,80.79,low,blue_chip_income|quality_value,0
601877,正泰电器,输变电设备,defensive,defensive,weekly,watchlist,2026-08-31,2026-08-31,1,82.79,82.79,low,quality_value,0
601390,中国中铁,基础建设,defensive,defensive,weekly,watchlist,2026-08-31,2026-08-31,1,81.71,81.71,low,dual_low|quality_value,0
600028,中国石化,石油天然气,defensive,defensive,weekly,swing,2026-08-31,2026-08-31,1,70.20,70.20,low,low_volatility_quality,0
000425,徐工机械,专用设备,balanced,balanced,daily,short_term,2026-09-02,2026-09-03,4,90.11,90.11,low,oversold_reversal,0
000783,长江证券,非银行金融,balanced,balanced,daily,short_term,2026-08-30,2026-09-03,3,91.38,91.38,low,oversold_reversal|shrink_pullback,0
601166,兴业银行,银行,balanced,balanced|defensive,daily,short_term,2026-08-30,2026-08-31,2,92.59,93.22,low,balanced_alpha|momentum_quality|oversold_reversal|quality_value,0
601668,中国建筑,建筑施工,balanced,balanced|defensive,daily,short_term,2026-08-30,2026-09-01,2,91.08,91.08,low,balanced_alpha|blue_chip_income|dual_low|oversold_reversal|quality_value,0
601233,桐昆股份,合成纤维及树脂,balanced,balanced,daily,short_term,2026-09-02,2026-09-03,2,90.98,90.98,low,oversold_reversal,0
603799,华友钴业,稀有金属,balanced,balanced,daily,short_term,2026-09-02,2026-09-03,2,90.82,90.82,low,oversold_reversal,0
600362,江西铜业,基本金属,balanced,balanced,daily,short_term,2026-09-02,2026-09-03,2,88.06,88.06,low,oversold_reversal,0
601799,星宇股份,汽车,balanced,balanced,daily,short_term,2026-09-03,2026-09-03,1,89.58,89.58,low,oversold_reversal,0
603588,高能环境,环保,balanced,balanced,daily,short_term,2026-09-01,2026-09-01,1,89.44,89.44,low,oversold_reversal,0
600585,海螺水泥,水泥,balanced,balanced,daily,short_term,2026-09-01,2026-09-01,1,89.20,89.20,low,oversold_reversal,0
000703,恒逸石化,合成纤维及树脂,balanced,balanced,daily,short_term,2026-09-01,2026-09-01,1,89.01,89.01,low,oversold_reversal,0
